,최저기온,최고기온,풍속,흐린날씨,강수량,강설량
삿포로,-6.12,27.16,4.11,2.3,63.55,120.1
아오모리,-3.63,28.37,4.16,1.9,71.2,120.1
아키타,-2.19,29.5,4.54,1.7,107.9,72.7
모리오카,-5.16,29.07,3.41,2.1,99.05,50.4
센다이,-1.37,29.01,3.57,1.5,149.9,18.8
야마가타,-3.17,30.91,2.04,1.9,109.2,81.6
후쿠시마,-1.55,31.08,2.78,1.6,122.35,37.9
미토,-1.88,30.46,2.8,1.9,138.05,6.2
우쓰노미,-2.18,31.31,3.36,2,178.35,12.2
도쿄,2.5,31.81,3.4,1.4,178.1,5.9
니가타,0.35,30.49,3.33,1.7,100.8,51.3
마에바시,-0.49,32.12,3.05,2.2,169.75,15.7
고후,-2.35,33.25,2.53,1.9,107.05,20.7
요코하,2.8,31.37,3.84,1.7,193.5,6.1
시즈오카,1.87,31.57,2.43,1.8,239.5,0
나고야,1,33.28,3.35,2.9,194.35,4.8
기후,0.58,33.4,2.97,3.9,236.15,6.7
도야마,0.17,31.6,3.27,2,158.3,75.3
카나자와,0.97,31.51,4.01,2.5,160.9,45.4
후쿠이,0.29,32.36,3.15,3.1,141.6,49.9
츠,2.28,31.66,3.96,3.7,227.45,4.3
나라,-0.15,33.14,1.57,3,184.2,5.7
와카야마,2.67,32.68,3.93,3.5,189.6,1.5
교토,1.18,33.87,2.3,2.9,187.3,4
오사카,2.74,33.75,2.54,2.9,200.7,1.7
고베,3.1,32.34,3.7,2.7,188.45,0.2
도토리,0.84,32.74,3.35,2,156.6,40.9
오카야마,1.12,33.09,3.2,4.2,171.55,1
마쓰에,1.27,31.72,3.63,2,158.25,18.7
히로시마,1.68,32.87,3.67,4.5,229.75,0.8
다카마쓰,2.08,33.24,2.56,2.8,170.2,1.9
마쓰야마,2.32,32.81,2.35,3.4,234.6,0.6
도쿠시마,2.75,32.44,3.58,2.9,217.05,1.5
고치,2,32.3,1.83,4.7,376.25,0
후쿠오카,3.67,32.9,3.03,4.3,253.25,1.2
사가,1.7,33.2,3.3,5.2,353.55,0.1
나가사키,3.64,32.14,2.55,6.1,416.35,0
오이타,2.37,32.51,2.66,2.5,399.05,0
구마모토,1.42,33.46,2.37,4.9,507.2,0
미야자키,2.79,31.82,3.4,4.7,653.85,0
가고시마,4.68,32.92,3.38,4.6,698.95,0
나하,14.57,31.81,5.18,0.7,270.25,0
나가노,-4.1,31.25,3,1.8,109.85,50.9
구마가야,-0.45,32.74,2.75,2.9,156.4,14.5
히코네,0.84,32.36,2.7,3.4,171.4,24.7
시모노세키,4.5,31.54,3.27,4.3,232.75,1.6
조시,2.85,29.14,6.5,1.5,170.3,0.3
